table,field_name,definition,dtype,unit,allowed_values,missing_convention,origin,source_lineage,roles,expected_range,transformation,leakage_class
sources,source_name,Human-readable authoritative source name.,string,not applicable,,blank/NA means not reported or not applicable; never imputed,observed,unaltered or whitespace-normalized source field,metadata_only,source-defined or controlled vocabulary,none,metadata
sources,source_record_scope,"Inclusion/query scope, not a completeness claim.",string,not applicable,,blank/NA means not reported or not applicable; never imputed,observed,unaltered or whitespace-normalized source field,metadata_only,source-defined or controlled vocabulary,none,metadata
sources,source_url,Authoritative access URL or API endpoint.,string,not applicable,,blank/NA means not reported or not applicable; never imputed,observed,unaltered or whitespace-normalized source field,metadata_only,source-defined or controlled vocabulary,none,metadata
sources,source_version,Source release/version; unresolved is explicit.,string,not applicable,,blank/NA means not reported or not applicable; never imputed,observed,unaltered or whitespace-normalized source field,metadata_only,source-defined or controlled vocabulary,none,metadata
tasks,access_class,Access stratum.,category,not applicable,,blank/NA means not reported or not applicable; never imputed,calculated,canonical observation selected by a versioned task-view policy,grouping_variable,source-defined or controlled vocabulary,versioned deterministic classification/review rule,safe_group
tasks,assay_id,Assay group identity.,string,not applicable,,not permitted for the entity/assertion represented by this table,calculated,canonical observation selected by a versioned task-view policy,grouping_variable,source-defined or controlled vocabulary,versioned SHA-256 over source release and source assay identity,safe_group
tasks,default_task_eligible,Whether the task row is admitted by the conservative default policy.,boolean,not applicable,,blank/NA means not reported or not applicable; never imputed,calculated,canonical observation selected by a versioned task-view policy,metadata_only,source-defined or controlled vocabulary,lossless projection from canonical observation,safe_group
tasks,document_year,Temporal split candidate.,integer,calendar year,,blank/NA means not reported or not applicable; never imputed,calculated,canonical observation selected by a versioned task-view policy,grouping_variable,1800..build year + 1; source exceptions flagged,lossless projection from canonical observation,safe_group
tasks,label_kind,"continuous_exact, continuous_censored, or categorical.",category,not applicable,,blank/NA means not reported or not applicable; never imputed,calculated,canonical observation selected by a versioned task-view policy,target,source-defined or controlled vocabulary,"relation/value-type mapping to exact, censored or categorical",target
tasks,label_lower_bound,Censored lower target bound.,float,label_unit per row,,blank/NA means not reported or not applicable; never imputed,calculated,canonical observation selected by a versioned task-view policy,target,finite or NA,copy of canonical lower bound under task policy,target
tasks,label_relation,Target qualification.,category,not applicable,,blank/NA means not reported or not applicable; never imputed,calculated,canonical observation selected by a versioned task-view policy,target,source-defined or controlled vocabulary,copy of canonical relation under task policy,target
tasks,label_text,Categorical model target when defined.,string,not applicable,,blank/NA means not reported or not applicable; never imputed,calculated,canonical observation selected by a versioned task-view policy,target,source-defined or controlled vocabulary,lossless projection from canonical observation,target
tasks,label_unit,Target unit.,string,not applicable,,blank/NA means not reported or not applicable; never imputed,calculated,canonical observation selected by a versioned task-view policy,target,source-defined or controlled vocabulary,copy of canonical unit under task policy,target
tasks,label_upper_bound,Censored upper target bound.,float,label_unit per row,,blank/NA means not reported or not applicable; never imputed,calculated,canonical observation selected by a versioned task-view policy,target,finite or NA,copy of canonical upper bound under task policy,target
tasks,label_value,Numeric model target when defined.,float,label_unit per row,,blank/NA means not reported or not applicable; never imputed,calculated,canonical observation selected by a versioned task-view policy,target,finite or NA; endpoint-specific,copy of canonical numeric target under task policy,target
tasks,molecule_id,Molecule group identity.,string,not applicable,,not permitted for the entity/assertion represented by this table,calculated,canonical observation selected by a versioned task-view policy,grouping_variable,source-defined or controlled vocabulary,versioned SHA-256 over standard InChIKey or standardized structure namespace,safe_group
tasks,observation_id,Traceback to one canonical assertion.,string,not applicable,,not permitted for the entity/assertion represented by this table,calculated,canonical observation selected by a versioned task-view policy,identifier,source-defined or controlled vocabulary,"versioned SHA-256 over source release, source record and endpoint assertion",safe_group
tasks,observation_kind,Normative observation kind; prediction tasks are excluded from public training views.,category,not applicable,,blank/NA means not reported or not applicable; never imputed,calculated,canonical observation selected by a versioned task-view policy,metadata_only,source-defined or controlled vocabulary,versioned deterministic classification/review rule,safe_group
tasks,protein_id,Protein group identity.,string,not applicable,,not permitted for the entity/assertion represented by this table,calculated,canonical observation selected by a versioned task-view policy,grouping_variable,source-defined or controlled vocabulary,versioned SHA-256 over accession-aware protein or complex identity,safe_group
tasks,quality_grade,Quality stratum.,category,not applicable,,blank/NA means not reported or not applicable; never imputed,calculated,canonical observation selected by a versioned task-view policy,grouping_variable,source-defined or controlled vocabulary,deterministic QC ladder independent of access and stage,safe_group
tasks,required_modalities,Semicolon-delimited model-input modalities required by this task contract.,string,not applicable,,blank/NA means not reported or not applicable; never imputed,calculated,canonical observation selected by a versioned task-view policy,metadata_only,source-defined or controlled vocabulary,lossless projection from canonical observation,safe_group
tasks,sensitivity_task_eligible,Whether an explicitly enabled sensitivity policy may admit the row.,boolean,not applicable,,blank/NA means not reported or not applicable; never imputed,calculated,canonical observation selected by a versioned task-view policy,metadata_only,source-defined or controlled vocabulary,lossless projection from canonical observation,safe_group
tasks,snapshot_id,Immutable source snapshot provenance.,string,not applicable,,not permitted for the entity/assertion represented by this table,calculated,canonical observation selected by a versioned task-view policy,identifier,source-defined or controlled vocabulary,versioned SHA-256 over source release and immutable query/snapshot scope,safe_group
tasks,source_id,Source group identity.,string,not applicable,,not permitted for the entity/assertion represented by this table,calculated,canonical observation selected by a versioned task-view policy,grouping_variable,source-defined or controlled vocabulary,versioned SHA-256 over authoritative source name and release,safe_group
tasks,source_record_id,Source assertion provenance.,string,not applicable,,blank/NA means not reported or not applicable; never imputed,calculated,canonical observation selected by a versioned task-view policy,identifier,source-defined or controlled vocabulary,lossless projection from canonical observation,safe_group
tasks,task_id,Stable intended-use task identity.,string,not applicable,,not permitted for the entity/assertion represented by this table,calculated,canonical observation selected by a versioned task-view policy,identifier,source-defined or controlled vocabulary,versioned SHA-256 over intended-use task and observation identity,safe_group
tasks,task_type,Endpoint-specific task; domains are never silently pooled.,string,not applicable,,blank/NA means not reported or not applicable; never imputed,calculated,canonical observation selected by a versioned task-view policy,grouping_variable,source-defined or controlled vocabulary,endpoint- and domain-specific task naming rule,safe_group
